eyeAct,uAct,uPow,lAct,lPow,time
lookR,neutral,0.0,neutral,0.0,1732051104.1426
lookR,neutral,0.0,neutral,0.0,1732051104.2678
lookR,neutral,0.0,neutral,0.0,1732051104.3304
lookR,neutral,0.0,neutral,0.0,1732051104.3618
lookR,neutral,0.0,neutral,0.0,1732051104.4241
lookR,neutral,0.0,neutral,0.0,1732051104.4864
lookR,neutral,0.0,neutral,0.0,1732051104.5488
lookR,neutral,0.0,neutral,0.0,1732051104.5803
lookR,neutral,0.0,neutral,0.0,1732051104.6426
lookR,neutral,0.0,neutral,0.0,1732051104.7048
lookR,neutral,0.0,neutral,0.0,1732051104.7361
neutral,neutral,0.0,neutral,0.0,1732051104.7986
neutral,neutral,0.0,neutral,0.0,1732051104.8608
neutral,neutral,0.0,neutral,0.0,1732051104.8921
neutral,neutral,0.0,neutral,0.0,1732051104.9545
neutral,neutral,0.0,neutral,0.0,1732051105.0168
neutral,neutral,0.0,neutral,0.0,1732051105.0478
neutral,neutral,0.0,neutral,0.0,1732051105.1105
neutral,neutral,0.0,neutral,0.0,1732051105.1729
neutral,neutral,0.0,neutral,0.0,1732051105.2041
neutral,neutral,0.0,neutral,0.0,1732051105.2662
neutral,neutral,0.0,neutral,0.0,1732051105.329
neutral,surprise,0.490247,neutral,0.0,1732051105.3603
neutral,surprise,0.490247,neutral,0.0,1732051105.4225
neutral,surprise,0.490247,neutral,0.0,1732051105.4536
neutral,neutral,0.0,neutral,0.0,1732051105.5161
neutral,neutral,0.0,neutral,0.0,1732051105.5786
neutral,neutral,0.0,neutral,0.0,1732051105.6411
neutral,neutral,0.0,neutral,0.0,1732051105.6721
neutral,neutral,0.0,neutral,0.0,1732051105.7351
neutral,neutral,0.0,neutral,0.0,1732051105.7972
neutral,neutral,0.0,neutral,0.0,1732051105.8286
neutral,neutral,0.0,smile,0.118454,1732051105.8914
neutral,neutral,0.0,smile,0.118454,1732051105.9228
neutral,neutral,0.0,smile,0.115827,1732051105.9854
neutral,neutral,0.0,smile,0.115827,1732051106.0479
neutral,neutral,0.0,smile,0.038671,1732051106.1106
neutral,neutral,0.0,smile,0.038671,1732051106.1416
neutral,neutral,0.0,smile,0.038671,1732051106.2043
neutral,neutral,0.0,smile,0.0,1732051106.2354
neutral,neutral,0.0,smile,0.0,1732051106.2981
neutral,neutral,0.0,smile,0.03315,1732051106.3601
neutral,neutral,0.0,smile,0.03315,1732051106.3916
neutral,neutral,0.0,smile,0.03315,1732051106.4536
neutral,neutral,0.0,smile,0.068964,1732051106.5161
neutral,neutral,0.0,smile,0.068964,1732051106.5471
neutral,neutral,0.0,smile,0.122855,1732051106.6097
neutral,neutral,0.0,smile,0.122855,1732051106.6725
neutral,neutral,0.0,smile,0.122855,1732051106.7035
neutral,neutral,0.0,smile,0.0,1732051106.7656
neutral,neutral,0.0,smile,0.0,1732051106.8282
neutral,neutral,0.0,smile,0.053866,1732051106.8907
neutral,neutral,0.0,smile,0.053866,1732051106.9218
neutral,neutral,0.0,smile,0.043574,1732051106.9842
neutral,neutral,0.0,smile,0.043574,1732051107.0155
neutral,neutral,0.0,smile,0.043574,1732051107.0782
neutral,neutral,0.0,smile,0.040049,1732051107.1404
neutral,neutral,0.0,smile,0.040049,1732051107.2031
neutral,neutral,0.0,smile,0.055428,1732051107.2345
neutral,neutral,0.0,smile,0.055428,1732051107.2972
neutral,neutral,0.0,smile,0.055428,1732051107.3284
neutral,neutral,0.0,smile,0.058496,1732051107.3912
winkR,neutral,0.0,smile,0.058496,1732051107.4535
winkR,neutral,0.0,smile,0.06085,1732051107.5159
winkR,neutral,0.0,smile,0.06085,1732051107.5472
winkR,neutral,0.0,smile,0.07123,1732051107.61
winkR,neutral,0.0,smile,0.07123,1732051107.6721
winkR,neutral,0.0,smile,0.07123,1732051107.7034
winkR,neutral,0.0,smile,0.096184,1732051107.7661
neutral,neutral,0.0,smile,0.096184,1732051107.8286
neutral,neutral,0.0,smile,0.316753,1732051107.8596
neutral,neutral,0.0,smile,0.316753,1732051107.9221
neutral,neutral,0.0,smile,0.156891,1732051107.9847
neutral,neutral,0.0,smile,0.156891,1732051108.0472
neutral,neutral,0.0,smile,0.156891,1732051108.0782
neutral,neutral,0.0,smile,0.094053,1732051108.1408
neutral,neutral,0.0,smile,0.094053,1732051108.1722
neutral,neutral,0.0,smile,0.214215,1732051108.2347
neutral,neutral,0.0,smile,0.214215,1732051108.297
neutral,neutral,0.0,smile,0.214215,1732051108.3282
neutral,neutral,0.0,smile,0.323644,1732051108.3909
neutral,neutral,0.0,smile,0.323644,1732051108.4219
neutral,neutral,0.0,smile,0.263988,1732051108.5154
neutral,neutral,0.0,smile,0.263988,1732051108.5467
neutral,neutral,0.0,smile,0.263988,1732051108.578
neutral,neutral,0.0,smile,0.124068,1732051108.64
neutral,neutral,0.0,smile,0.124068,1732051108.7025
neutral,neutral,0.0,smile,0.148635,1732051108.7652
neutral,neutral,0.0,smile,0.148635,1732051108.7962
neutral,neutral,0.0,smile,0.14083,1732051108.8584
neutral,neutral,0.0,smile,0.14083,1732051108.8897
neutral,neutral,0.0,smile,0.14083,1732051108.9523
neutral,neutral,0.0,smile,0.127317,1732051109.0145
neutral,neutral,0.0,smile,0.127317,1732051109.077
neutral,neutral,0.0,smile,0.008713,1732051109.1084
winkR,neutral,0.0,smile,0.008713,1732051109.171
winkR,neutral,0.0,smile,0.0,1732051109.2334
winkR,neutral,0.0,smile,0.0,1732051109.2648
winkR,neutral,0.0,smile,0.0,1732051109.3274
winkR,neutral,0.0,smile,0.115615,1732051109.3587
winkR,neutral,0.0,smile,0.115615,1732051109.4209
winkR,neutral,0.0,smile,0.242391,1732051109.4836
neutral,neutral,0.0,smile,0.242391,1732051109.515
neutral,neutral,0.0,smile,0.242391,1732051109.5773
