eyeAct,uAct,uPow,lAct,lPow,time
lookR,neutral,0.0,neutral,0.0,1729352651.4492
lookR,neutral,0.0,neutral,0.0,1729352651.5112
lookR,neutral,0.0,neutral,0.0,1729352651.5737
lookR,neutral,0.0,neutral,0.0,1729352651.6362
lookR,neutral,0.0,neutral,0.0,1729352651.6676
lookR,neutral,0.0,neutral,0.0,1729352651.7297
lookR,neutral,0.0,neutral,0.0,1729352651.761
lookR,neutral,0.0,neutral,0.0,1729352651.8239
lookR,neutral,0.0,neutral,0.0,1729352651.8861
lookR,neutral,0.0,neutral,0.0,1729352651.9172
lookR,neutral,0.0,neutral,0.0,1729352651.9796
lookR,neutral,0.0,neutral,0.0,1729352652.0423
lookR,neutral,0.0,neutral,0.0,1729352652.1048
lookR,neutral,0.0,neutral,0.0,1729352652.1358
lookR,neutral,0.0,neutral,0.0,1729352652.1984
lookR,neutral,0.0,neutral,0.0,1729352652.2294
lookR,neutral,0.0,neutral,0.0,1729352652.2919
lookR,neutral,0.0,neutral,0.0,1729352652.3547
lookR,neutral,0.0,neutral,0.0,1729352652.3862
lookR,neutral,0.0,neutral,0.0,1729352652.4482
lookR,neutral,0.0,neutral,0.0,1729352652.4793
lookR,neutral,0.0,neutral,0.0,1729352652.5419
lookR,neutral,0.0,neutral,0.0,1729352652.6045
lookR,neutral,0.0,neutral,0.0,1729352652.6668
lookR,neutral,0.0,neutral,0.0,1729352652.6978
neutral,neutral,0.0,neutral,0.0,1729352652.7607
neutral,neutral,0.0,neutral,0.0,1729352652.8229
neutral,neutral,0.0,smile,1.0,1729352652.8543
neutral,neutral,0.0,smile,1.0,1729352652.9167
neutral,neutral,0.0,smile,1.0,1729352652.9482
neutral,neutral,0.0,smile,1.0,1729352653.0104
neutral,neutral,0.0,smile,1.0,1729352653.0729
neutral,neutral,0.0,smile,1.0,1729352653.1041
neutral,neutral,0.0,smile,1.0,1729352653.1668
neutral,neutral,0.0,smile,1.0,1729352653.2288
neutral,neutral,0.0,smile,1.0,1729352653.26
neutral,neutral,0.0,smile,1.0,1729352653.3228
neutral,neutral,0.0,smile,1.0,1729352653.3543
neutral,neutral,0.0,smile,1.0,1729352653.4163
neutral,neutral,0.0,smile,1.0,1729352653.4788
neutral,neutral,0.0,smile,1.0,1729352653.5416
neutral,neutral,0.0,smile,1.0,1729352653.5726
neutral,neutral,0.0,smile,1.0,1729352653.6349
neutral,neutral,0.0,smile,1.0,1729352653.6659
neutral,neutral,0.0,smile,1.0,1729352653.7287
neutral,neutral,0.0,smile,1.0,1729352653.7907
neutral,neutral,0.0,smile,1.0,1729352653.822
neutral,neutral,0.0,smile,1.0,1729352653.8842
neutral,neutral,0.0,smile,1.0,1729352653.9471
neutral,neutral,0.0,smile,1.0,1729352654.0096
neutral,neutral,0.0,smile,1.0,1729352654.0409
neutral,neutral,0.0,smile,1.0,1729352654.0721
neutral,neutral,0.0,smile,1.0,1729352654.1348
neutral,neutral,0.0,smile,1.0,1729352654.1975
neutral,neutral,0.0,smile,1.0,1729352654.2601
neutral,neutral,0.0,smile,1.0,1729352654.2916
neutral,neutral,0.0,smile,1.0,1729352654.3536
neutral,neutral,0.0,smile,1.0,1729352654.385
neutral,neutral,0.0,smile,1.0,1729352654.4478
neutral,neutral,0.0,smile,1.0,1729352654.5103
neutral,neutral,0.0,smile,1.0,1729352654.5413
neutral,neutral,0.0,smile,1.0,1729352654.6038
neutral,neutral,0.0,smile,1.0,1729352654.6667
neutral,neutral,0.0,smile,1.0,1729352654.7289
neutral,neutral,0.0,smile,1.0,1729352654.76
neutral,neutral,0.0,smile,1.0,1729352654.8225
neutral,neutral,0.0,smile,1.0,1729352654.854
neutral,neutral,0.0,smile,1.0,1729352654.9163
neutral,neutral,0.0,smile,1.0,1729352654.9786
neutral,neutral,0.0,smile,1.0,1729352655.0412
neutral,neutral,0.0,smile,1.0,1729352655.0723
neutral,neutral,0.0,smile,1.0,1729352655.1346
neutral,neutral,0.0,smile,1.0,1729352655.1658
neutral,neutral,0.0,smile,1.0,1729352655.2283
neutral,neutral,0.0,smile,1.0,1729352655.2906
neutral,neutral,0.0,smile,1.0,1729352655.3216
neutral,neutral,0.0,smile,0.910913,1729352655.3841
neutral,neutral,0.0,smile,0.910913,1729352655.4468
neutral,neutral,0.0,smile,0.985187,1729352655.5088
neutral,neutral,0.0,smile,0.985187,1729352655.54
neutral,neutral,0.0,smile,1.0,1729352655.6026
neutral,neutral,0.0,smile,1.0,1729352655.6341
neutral,neutral,0.0,smile,1.0,1729352655.6965
neutral,neutral,0.0,smile,1.0,1729352655.759
neutral,neutral,0.0,smile,1.0,1729352655.8219
neutral,neutral,0.0,smile,1.0,1729352655.8529
neutral,neutral,0.0,smile,1.0,1729352655.9154
neutral,neutral,0.0,smile,1.0,1729352655.9467
neutral,neutral,0.0,smile,1.0,1729352656.0093
neutral,neutral,0.0,smile,1.0,1729352656.0715
neutral,neutral,0.0,smile,1.0,1729352656.1028
neutral,neutral,0.0,smile,1.0,1729352656.1656
neutral,neutral,0.0,smile,1.0,1729352656.1969
