eyeAct,uAct,uPow,lAct,lPow,time
neutral,neutral,0.0,neutral,0.0,1729352612.1898
neutral,neutral,0.0,neutral,0.0,1729352612.2523
neutral,neutral,0.0,neutral,0.0,1729352612.2838
neutral,neutral,0.0,neutral,0.0,1729352612.3462
neutral,neutral,0.0,neutral,0.0,1729352612.4087
neutral,neutral,0.0,neutral,0.0,1729352612.4716
neutral,neutral,0.0,neutral,0.0,1729352612.5028
neutral,neutral,0.0,neutral,0.0,1729352612.5338
neutral,neutral,0.0,neutral,0.0,1729352612.5966
neutral,neutral,0.0,neutral,0.0,1729352612.6591
neutral,neutral,0.0,neutral,0.0,1729352612.7213
neutral,neutral,0.0,neutral,0.0,1729352612.7524
neutral,neutral,0.0,neutral,0.0,1729352612.8152
neutral,neutral,0.0,neutral,0.0,1729352612.8465
neutral,neutral,0.0,neutral,0.0,1729352612.9089
neutral,neutral,0.0,neutral,0.0,1729352612.9711
neutral,neutral,0.0,neutral,0.0,1729352613.0025
winkL,neutral,0.0,neutral,0.0,1729352613.0651
winkL,surprise,1.0,neutral,0.0,1729352613.1275
winkL,surprise,1.0,neutral,0.0,1729352613.1586
winkL,surprise,1.0,neutral,0.0,1729352613.2212
neutral,surprise,1.0,neutral,0.0,1729352613.2835
neutral,surprise,1.0,neutral,0.0,1729352613.346
neutral,surprise,1.0,neutral,0.0,1729352613.3771
neutral,surprise,1.0,neutral,0.0,1729352613.4396
neutral,surprise,1.0,neutral,0.0,1729352613.4706
neutral,surprise,1.0,neutral,0.0,1729352613.5331
neutral,surprise,1.0,neutral,0.0,1729352613.5951
neutral,surprise,1.0,neutral,0.0,1729352613.6266
neutral,surprise,1.0,neutral,0.0,1729352613.6888
neutral,surprise,1.0,neutral,0.0,1729352613.7513
neutral,surprise,1.0,neutral,0.0,1729352613.7824
neutral,surprise,1.0,neutral,0.0,1729352613.8447
neutral,surprise,1.0,neutral,0.0,1729352613.907
neutral,surprise,1.0,neutral,0.0,1729352613.9382
neutral,surprise,1.0,neutral,0.0,1729352614.0011
neutral,surprise,1.0,neutral,0.0,1729352614.0322
neutral,surprise,1.0,neutral,0.0,1729352614.0947
neutral,surprise,1.0,neutral,0.0,1729352614.1574
neutral,surprise,1.0,neutral,0.0,1729352614.1889
neutral,surprise,1.0,neutral,0.0,1729352614.2509
neutral,surprise,1.0,neutral,0.0,1729352614.3136
neutral,surprise,1.0,neutral,0.0,1729352614.3765
neutral,surprise,1.0,neutral,0.0,1729352614.4078
neutral,surprise,1.0,neutral,0.0,1729352614.47
neutral,surprise,1.0,neutral,0.0,1729352614.5013
neutral,surprise,1.0,neutral,0.0,1729352614.564
neutral,surprise,1.0,neutral,0.0,1729352614.6262
